name,group,relationship_type,priority,age_group,cluster,table,seat
Iresha Karunaratne,Neighbours,other,1,child,5,Table 41,3
Poornima Herath,Other,other,1,child,5,Table 41,4
Kaveesha Kumarasinghe,Other,other,1,child,5,Table 41,5
Yohan Wijeratne,Other,other,1,child,5,Table 41,6
Prasad Herath,Neighbours,other,1,child,5,Table 41,7
Suresh Weerasinghe,Neighbours,other,1,child,5,Table 41,8
Sanduni Weerasinghe,Other,other,1,child,5,Table 41,9
Chanaka de Zoysa,Other,other,1,child,5,Table 41,10
Asela Samarasinghe,Other,other,1,senior,9,Table 42,1
Tharushi Abeysekara,Neighbours,other,1,senior,9,Table 42,2
Harsha Abeysekara,Neighbours,other,1,senior,9,Table 42,3
