name,email,phone,group,rsvp,notes
"Harsha de Zoysa","harsha.dezoysa@yahoo.com","0709660803","Bride's Friends","Accepted","Allergic to peanuts"
"Achini Wijeratne","achini.wijeratne@outlook.com","0729937547","Other","Accepted","Traveling from Jaffna"
"Yasodha Jayawardena","yasodha.jayawardena@gmail.com","0764366315","Groom's Colleagues","Rejected","Needs wheelchair access"
"Dinesh Samarasinghe","dinesh.samarasinghe@hotmail.com","0788304611","Relatives","Pending",""
"Gimhani Abeysekara","gimhani.abeysekara@hotmail.com","0785815809","Bride's Friends","Accepted","Needs wheelchair access"
"Dilshan Wickramasinghe","dilshan.wickramasinghe@yahoo.com","0705120259","Bride's Colleagues","Accepted","Halal meal required"
"Chamodi Jayawardena","chamodi.jayawardena@gmail.com","0713673591","Bride's Colleagues","Accepted","Bringing +1"
"Hansika Rathnayake","hansika.rathnayake@yahoo.com","0771708541","VIP","Accepted",""
"Dilini Weerasinghe","dilini.weerasinghe@hotmail.com","0782066723","Relatives","Pending",""
"Nipun Wijeratne","nipun.wijeratne@yahoo.com","0712877913","Other","Accepted",""
"Achini Amarasinghe","achini.amarasinghe@hotmail.com","0752514123","Groom's Friends","Accepted","Requires seat near stage"
"Amila Wijeratne","amila.wijeratne@outlook.com","0784958384","Relatives","Pending",""
"Isuru Wijesinghe","isuru.wijesinghe@outlook.com","0721938272","VIP","Accepted",""
"Ravindu Kumarasinghe","ravindu.kumarasinghe@yahoo.com","0723431212","Groom's Colleagues","Rejected","Elderly guest"
"Nimasha Jayawardena","nimasha.jayawardena@gmail.com","0781917249","Groom's Friends","Accepted","Traveling from Kandy"
"Asela Ranasinghe","asela.ranasinghe@gmail.com","0764965830","VIP","Accepted","Traveling from Kandy"
"Deshani Bandara","deshani.bandara@hotmail.com","0704950370","Bride's Colleagues","Accepted","Vegan meal"
"Kaveesha Weerasinghe","kaveesha.weerasinghe@outlook.com","0781568440","Bride's Colleagues","Accepted","Confirmed via WhatsApp"
"Ravindu Weerasinghe","ravindu.weerasinghe@outlook.com","0782684358","Bride's Friends","Accepted","No pork"
"Ravindu Herath","ravindu.herath@hotmail.com","0751458871","Bride's Family","Accepted","Vegan meal"
"Thanuja Jayawardena","thanuja.jayawardena@yahoo.com","0707721990","Groom's Friends","Accepted","Requires seat near stage"
"Chathurika Gunawardena","chathurika.gunawardena@yahoo.com","0763182597","Other","Accepted","Requires seat near stage"
"Yohan Wijeratne","yohan.wijeratne@yahoo.com","0723910495","Other","Accepted","Bringing 2 children"
"Ravindu Ranasinghe","ravindu.ranasinghe@yahoo.com","0757330379","Other","Accepted",""
"Kaveesha Herath","kaveesha.herath@yahoo.com","0708758202","Groom's Friends","Accepted","Vegan meal"
"Janaka Abeysekara","janaka.abeysekara@hotmail.com","0712494200","Groom's Colleagues","Rejected","Late arrival expected"
"Asela Mendis","asela.mendis@outlook.com","0788611954","VIP","Accepted","Allergic to peanuts"
"Yohan Bandara","yohan.bandara@hotmail.com","0779290765","Relatives","Pending","Allergic to peanuts"
"Achini Senanayake","achini.senanayake@yahoo.com","0754026104","Relatives","Pending",""
"Isuru Dissanayake","isuru.dissanayake@outlook.com","0717201492","Other","Accepted","Part of Poruwa ceremony party"
"Malith Wickramasinghe","malith.wickramasinghe@hotmail.com","0777669861","Groom's Friends","Accepted","Traveling from Jaffna"
"Hansika Silva","hansika.silva@gmail.com","0761985700","Bride's Family","Accepted","Needs wheelchair access"
"Prasad Herath","prasad.herath@gmail.com","0705255656","Neighbours","Accepted","Bringing 2 children"
"Poornima Ranasinghe","poornima.ranasinghe@yahoo.com","0761689962","Other","Accepted","Vegan meal"
"Deshani Weerasinghe","deshani.weerasinghe@outlook.com","0712504043","Groom's Colleagues","Rejected","Traveling from Jaffna"
"Dilshan Weerasinghe","dilshan.weerasinghe@gmail.com","0719375364","Bride's Colleagues","Accepted","Traveling from Jaffna"
"Thilina Bandara","thilina.bandara@hotmail.com","0766251441","Relatives","Pending","Requires seat near stage"
"Vidusha Samarasinghe","vidusha.samarasinghe@yahoo.com","0768381800","Bride's Family","Accepted",""
"Nuwan Kumarasinghe","nuwan.kumarasinghe@hotmail.com","0718837188","Relatives","Pending","Confirmed via WhatsApp"
"Prasad Gunasekara","prasad.gunasekara@outlook.com","0759270975","Groom's Family","Accepted","Vegetarian meal"
"Chamara Rajapaksha","chamara.rajapaksha@hotmail.com","0713823521","Neighbours","Accepted","Late arrival expected"
"Nayana Rajapaksha","nayana.rajapaksha@gmail.com","0764029442","Relatives","Pending","Needs wheelchair access"
"Poornima Jayasuriya","poornima.jayasuriya@hotmail.com","0705769447","Groom's Family","Accepted","Late arrival expected"
"Chathurika Weerasinghe","chathurika.weerasinghe@yahoo.com","0702360015","VIP","Accepted","Confirmed via WhatsApp"
"Isuru Herath","isuru.herath@gmail.com","0721735630","Other","Accepted","Requires seat near stage"
"Yasodha Amarasinghe","yasodha.amarasinghe@yahoo.com","0711816752","Bride's Colleagues","Accepted",""
"Iresha Herath","iresha.herath@outlook.com","0707691735","Bride's Colleagues","Accepted","Traveling from Kandy"
"Yohan Rajapaksha","yohan.rajapaksha@yahoo.com","0757751088","Bride's Colleagues","Accepted","Vegetarian meal"
"Malith Abeysekara","malith.abeysekara@hotmail.com","0773202624","Groom's Colleagues","Rejected","Elderly guest"
"Vidusha Wijesinghe","vidusha.wijesinghe@outlook.com","0755504336","Other","Accepted",""
"Thanuja Ranasinghe","thanuja.ranasinghe@yahoo.com","0758147380","Groom's Family","Accepted","Requires seat near stage"
"Poornima Dissanayake","poornima.dissanayake@yahoo.com","0759846268","Neighbours","Accepted","Part of Poruwa ceremony party"
"Gayan Kumarasinghe","gayan.kumarasinghe@hotmail.com","0713143956","Bride's Colleagues","Accepted","No pork"
"Amila Fernando","amila.fernando@gmail.com","0709613666","Groom's Family","Accepted","Traveling from Jaffna"
"Dinesh Wijeratne","dinesh.wijeratne@hotmail.com","0725275844","Other","Accepted","No pork"
"Chamath Rathnayake","chamath.rathnayake@outlook.com","0714056945","Relatives","Pending","Traveling from Jaffna"
"Nadeesha Weerasinghe","nadeesha.weerasinghe@outlook.com","0788548873","Other","Accepted","Requires seat near stage"
"Gimhani Gunawardena","gimhani.gunawardena@yahoo.com","0712312322","Other","Accepted",""
"Kasun Perera","kasun.perera@outlook.com","0701223214","Bride's Friends","Accepted","Part of Poruwa ceremony party"
"Gimhani Rathnayake","gimhani.rathnayake@outlook.com","0727052024","Relatives","Pending",""
"Kasun Rajapaksha","kasun.rajapaksha@gmail.com","0781266510","Groom's Friends","Accepted","Allergic to peanuts"
"Ruwan Jayawardena","ruwan.jayawardena@yahoo.com","0754203013","Groom's Family","Accepted","Part of Poruwa ceremony party"
"Ravindu Perera","ravindu.perera@gmail.com","0713557220","VIP","Accepted","Confirmed via WhatsApp"
"Chanaka Amarasinghe","chanaka.amarasinghe@yahoo.com","0715946450","Other","Accepted","Traveling from Kandy"
"Kasun Jayasuriya","kasun.jayasuriya@outlook.com","0759316519","Other","Accepted","Halal meal required"
"Sachini Kumarasinghe","sachini.kumarasinghe@outlook.com","0759612679","Other","Accepted","Confirmed via WhatsApp"
"Nuwan Mendis","nuwan.mendis@gmail.com","0756299086","Neighbours","Accepted","Traveling from Jaffna"
"Chathurika Kumarasinghe","chathurika.kumarasinghe1@hotmail.com","0758318725","Bride's Family","Accepted","Allergic to peanuts"
"Chanaka Dissanayake","chanaka.dissanayake@yahoo.com","0766690043","Other","Accepted","Part of Poruwa ceremony party"
"Chathura Wijeratne","chathura.wijeratne1@outlook.com","0757044085","VIP","Accepted","Vegan meal"
"Nadeesha Gunasekara","nadeesha.gunasekara@gmail.com","0779101545","Bride's Friends","Accepted","Vegan meal"
"Chathurika Abeysekara","chathurika.abeysekara@outlook.com","0724937929","Groom's Friends","Accepted",""
"Isuru Ranasinghe","isuru.ranasinghe@yahoo.com","0719446974","Bride's Family","Accepted","Requires seat near stage"
"Janaka Dissanayake","janaka.dissanayake@gmail.com","0764759700","VIP","Accepted","Requires seat near stage"
"Menaka Fernando","menaka.fernando@hotmail.com","0719646766","Other","Accepted",""
"Sanduni Wijesinghe","sanduni.wijesinghe1@gmail.com","0702709062","Neighbours","Accepted",""
"Dilshan Rajapaksha","dilshan.rajapaksha@hotmail.com","0715901010","VIP","Accepted","Confirmed via WhatsApp"
"Chathurika Wickramasinghe","chathurika.wickramasinghe@hotmail.com","0723311438","Groom's Family","Accepted","Part of Poruwa ceremony party"
"Menaka Samarasinghe","menaka.samarasinghe@gmail.com","0718946752","Groom's Colleagues","Rejected","Vegan meal"
"Prasad Gunasekara","prasad.gunasekara1@outlook.com","0725117989","Bride's Friends","Accepted","No pork"
"Lahiru Wickramasinghe","lahiru.wickramasinghe@outlook.com","0757867070","VIP","Accepted","No pork"
"Madushani Perera","madushani.perera@outlook.com","0711166911","Neighbours","Accepted",""
"Nadeeka Samarasinghe","nadeeka.samarasinghe@yahoo.com","0752031267","Relatives","Pending","Vegetarian meal"
"Sachini Jayawardena","sachini.jayawardena@hotmail.com","0757744488","Neighbours","Accepted","Requires seat near stage"
"Nimasha Bandara","nimasha.bandara@yahoo.com","0777776956","VIP","Accepted","Halal meal required"
"Dulmini Jayawardena","dulmini.jayawardena@outlook.com","0776792344","Relatives","Pending","Bringing 2 children"
"Suresh Weerasinghe","suresh.weerasinghe@outlook.com","0773114023","Neighbours","Accepted","Bringing 2 children"
"Buddhika de Zoysa","buddhika.dezoysa1@hotmail.com","0766716146","Bride's Friends","Accepted","Halal meal required"
"Anjali Samarasinghe","anjali.samarasinghe@hotmail.com","0778092498","Neighbours","Accepted",""
"Hansika Jayawardena","hansika.jayawardena@hotmail.com","0701800824","Groom's Family","Accepted","Late arrival expected"
"Sanduni Weerasinghe","sanduni.weerasinghe@yahoo.com","0789947098","Other","Accepted","Bringing 2 children"
"Kavinda Gunasekara","kavinda.gunasekara@yahoo.com","0777336179","Neighbours","Accepted",""
"Amila Rajapaksha","amila.rajapaksha@hotmail.com","0752643963","Bride's Friends","Accepted","Traveling from Jaffna"
"Nuwan Abeysekara","nuwan.abeysekara@yahoo.com","0754603484","VIP","Accepted","No pork"
"Suresh Mendis","suresh.mendis@outlook.com","0785424046","Other","Accepted","Traveling from Jaffna"
"Shanika Kumarasinghe","shanika.kumarasinghe@outlook.com","0783732048","Bride's Friends","Accepted","Confirmed via WhatsApp"
"Ishara Gunasekara","ishara.gunasekara@gmail.com","0774567549","VIP","Accepted","Vegan meal"
"Madushani Jayasuriya","madushani.jayasuriya@outlook.com","0703027802","Groom's Colleagues","Rejected",""
"Chathurika Ranasinghe","chathurika.ranasinghe@hotmail.com","0726087859","Bride's Colleagues","Accepted","Vegetarian meal"
"Amila Abeysekara","amila.abeysekara@gmail.com","0725756043","Groom's Friends","Accepted","Confirmed via WhatsApp"
"Suresh Ranasinghe","suresh.ranasinghe@gmail.com","0781749647","Relatives","Pending","Bringing 2 children"
"Sithara Weerasinghe","sithara.weerasinghe@outlook.com","0753228175","Bride's Friends","Accepted","Part of Poruwa ceremony party"
"Poornima Wijesinghe","poornima.wijesinghe@yahoo.com","0786456223","Groom's Family","Accepted","Traveling from Jaffna"
"Thilina Karunaratne","thilina.karunaratne@hotmail.com","0761768727","VIP","Accepted",""
"Shanika Perera","shanika.perera@hotmail.com","0763076710","Neighbours","Accepted","Halal meal required"
"Sachini Amarasinghe","sachini.amarasinghe@yahoo.com","0788983198","Neighbours","Accepted",""
"Iresha Gunawardena","iresha.gunawardena@gmail.com","0724452834","Groom's Friends","Accepted","Late arrival expected"
"Kavinda de Zoysa","kavinda.dezoysa@hotmail.com","0751754700","VIP","Accepted",""
"Tharindu Abeysekara","tharindu.abeysekara@gmail.com","0789856721","Groom's Colleagues","Rejected",""
"Dilshan de Zoysa","dilshan.dezoysa@yahoo.com","0723416493","Bride's Friends","Accepted",""
"Ravindu Rathnayake","ravindu.rathnayake@yahoo.com","0706457472","Bride's Friends","Accepted",""
"Dilshan Weerasinghe","dilshan.weerasinghe@yahoo.com","0756439471","Bride's Colleagues","Accepted",""
"Lahiru Samarasinghe","lahiru.samarasinghe@yahoo.com","0759533248","Neighbours","Accepted",""
"Sanjeewa Wijesinghe","sanjeewa.wijesinghe@outlook.com","0709123050","Bride's Family","Accepted","Needs wheelchair access"
"Nimasha Bandara","nimasha.bandara@gmail.com","0713106737","Bride's Colleagues","Accepted","Part of Poruwa ceremony party"
"Roshan Mendis","roshan.mendis@yahoo.com","0783388522","Groom's Colleagues","Rejected","Vegan meal"
"Iresha Abeysekara","iresha.abeysekara@outlook.com","0701016794","VIP","Accepted","Bringing 2 children"
"Piumi Perera","piumi.perera@gmail.com","0755585262","Other","Accepted","Traveling from Kandy"
"Achini Jayawardena","achini.jayawardena@yahoo.com","0769561890","Bride's Colleagues","Accepted","Halal meal required"
"Nadeesha Silva","nadeesha.silva@outlook.com","0773063211","Bride's Friends","Accepted","Bringing +1"
"Kavindi Herath","kavindi.herath@hotmail.com","0776748465","Bride's Colleagues","Accepted","Part of Poruwa ceremony party"
"Dinesh Weerasinghe","dinesh.weerasinghe1@hotmail.com","0718714152","Other","Accepted","Vegetarian meal"
"Nimasha Herath","nimasha.herath@outlook.com","0701160702","Bride's Friends","Accepted","Confirmed via WhatsApp"
"Iresha Silva","iresha.silva@gmail.com","0761519213","VIP","Accepted","Elderly guest"
"Rashmi Herath","rashmi.herath1@hotmail.com","0753972698","Bride's Family","Accepted","Elderly guest"
"Sanduni Perera","sanduni.perera@yahoo.com","0771331881","Bride's Colleagues","Accepted","Elderly guest"
"Nipun Herath","nipun.herath@hotmail.com","0784710242","Groom's Friends","Accepted","Elderly guest"
"Malith Gunasekara","malith.gunasekara@yahoo.com","0704289790","Relatives","Pending","Bringing +1"
"Vidusha Gunawardena","vidusha.gunawardena@yahoo.com","0773944885","Groom's Family","Accepted",""
"Gayan Amarasinghe","gayan.amarasinghe@yahoo.com","0765602459","Groom's Friends","Accepted",""
"Shanika Rathnayake","shanika.rathnayake@hotmail.com","0778615616","Bride's Family","Accepted",""
"Tharushi Abeysekara","tharushi.abeysekara@outlook.com","0723042084","Neighbours","Accepted","Elderly guest"
"Sachini Wijeratne","sachini.wijeratne@yahoo.com","0705662942","Relatives","Pending","Requires seat near stage"
"Sampath Weerasinghe","sampath.weerasinghe@gmail.com","0761425670","Groom's Friends","Accepted","Traveling from Jaffna"
"Deshani Dissanayake","deshani.dissanayake@yahoo.com","0716523472","Bride's Colleagues","Accepted",""
"Ravindu Perera","ravindu.perera@hotmail.com","0785201173","Groom's Friends","Accepted","Needs wheelchair access"
"Achini Fernando","achini.fernando@hotmail.com","0764971899","Groom's Family","Accepted","Part of Poruwa ceremony party"
"Kaveesha Wijesinghe","kaveesha.wijesinghe@gmail.com","0702018157","Bride's Family","Accepted",""
"Sachini Wijesinghe","sachini.wijesinghe@gmail.com","0728245056","Groom's Family","Accepted",""
"Nadeesha Karunaratne","nadeesha.karunaratne@outlook.com","0707897247","Groom's Friends","Accepted",""
"Chanaka Abeysekara","chanaka.abeysekara@gmail.com","0721435739","VIP","Accepted","Late arrival expected"
"Dilshan Perera","dilshan.perera@gmail.com","0764248312","Other","Accepted","No pork"
"Ravindu Kumarasinghe","ravindu.kumarasinghe@outlook.com","0715079421","Bride's Friends","Accepted",""
"Amila Abeysekara","amila.abeysekara@hotmail.com","0723443176","Bride's Friends","Accepted","Requires seat near stage"
"Kasun Mendis","kasun.mendis@yahoo.com","0704982698","Neighbours","Accepted","Halal meal required"
"Chamodi Ranasinghe","chamodi.ranasinghe@yahoo.com","0714376603","Groom's Family","Accepted","Confirmed via WhatsApp"
"Sanduni Herath","sanduni.herath@hotmail.com","0786631448","Other","Accepted","Requires seat near stage"
"Chanaka Fernando","chanaka.fernando@outlook.com","0711062026","Groom's Friends","Accepted","Part of Poruwa ceremony party"
"Anjali Kumarasinghe","anjali.kumarasinghe@hotmail.com","0787306753","Groom's Friends","Accepted",""
"Chamara Ranasinghe","chamara.ranasinghe@gmail.com","0762932555","Bride's Friends","Accepted","Allergic to peanuts"
"Deshani Samarasinghe","deshani.samarasinghe@hotmail.com","0701498041","Groom's Friends","Accepted","Vegan meal"
"Isuru Wijeratne","isuru.wijeratne@yahoo.com","0725126595","Bride's Friends","Accepted","Vegan meal"
"Deshani Jayasuriya","deshani.jayasuriya@gmail.com","0783302564","Relatives","Pending",""
"Sampath Senanayake","sampath.senanayake@outlook.com","0717201541","Groom's Colleagues","Rejected","No pork"
"Dulmini Abeysekara","dulmini.abeysekara@gmail.com","0703423170","Bride's Friends","Accepted","Allergic to peanuts"
"Shanika Ranasinghe","shanika.ranasinghe@hotmail.com","0768206488","Groom's Friends","Accepted","Late arrival expected"
"Suresh Senanayake","suresh.senanayake@yahoo.com","0725146852","Bride's Family","Accepted","Bringing +1"
"Gimhani Mendis","gimhani.mendis@outlook.com","0712365794","VIP","Accepted",""
"Nadeeka Samarasinghe","nadeeka.samarasinghe@hotmail.com","0759705569","VIP","Accepted","Elderly guest"
"Vidusha Gunasekara","vidusha.gunasekara@outlook.com","0755501921","Other","Accepted","Late arrival expected"
"Kavindi Dissanayake","kavindi.dissanayake@yahoo.com","0754932320","Relatives","Pending","Traveling from Jaffna"
"Nayana Gunawardena","nayana.gunawardena@hotmail.com","0722422018","Bride's Friends","Accepted","Bringing 2 children"
"Prasad Dissanayake","prasad.dissanayake@gmail.com","0759594331","Other","Accepted","Part of Poruwa ceremony party"
"Ravindu Ranasinghe","ravindu.ranasinghe@outlook.com","0725580506","Relatives","Pending","Part of Poruwa ceremony party"
"Roshan Silva","roshan.silva@hotmail.com","0705941189","Neighbours","Accepted",""
"Deshani Dissanayake","deshani.dissanayake@gmail.com","0702197032","Groom's Colleagues","Rejected","Allergic to peanuts"
"Dinesh Weerasinghe","dinesh.weerasinghe2@hotmail.com","0725604751","Groom's Friends","Accepted","Vegetarian meal"
"Menaka Gunasekara","menaka.gunasekara@hotmail.com","0706024342","Bride's Colleagues","Accepted","Traveling from Kandy"
"Achini Amarasinghe","achini.amarasinghe@gmail.com","0759600788","Bride's Friends","Accepted","Needs wheelchair access"
"Chamath Rajapaksha","chamath.rajapaksha@outlook.com","0719654113","Other","Accepted","Part of Poruwa ceremony party"
"Sanduni Weerasinghe","sanduni.weerasinghe@gmail.com","0724151542","Relatives","Pending","Traveling from Jaffna"
"Chanaka de Zoysa","chanaka.dezoysa1@gmail.com","0723331197","Other","Accepted","Bringing 2 children"
"Nimasha Kumarasinghe","nimasha.kumarasinghe@hotmail.com","0724783105","Relatives","Pending","Traveling from Kandy"
"Shanika de Zoysa","shanika.dezoysa@hotmail.com","0721389899","Other","Accepted","Vegetarian meal"
"Sanjeewa Amarasinghe","sanjeewa.amarasinghe@outlook.com","0754425984","Relatives","Pending","Traveling from Kandy"
"Dilshan Weerasinghe","dilshan.weerasinghe@outlook.com","0776111102","Groom's Family","Accepted","Halal meal required"
"Nipun Gunasekara","nipun.gunasekara@outlook.com","0704132173","Groom's Friends","Accepted","Traveling from Kandy"
"Lahiru Senanayake","lahiru.senanayake@gmail.com","0751963904","Groom's Colleagues","Rejected","Vegan meal"
"Gayan Abeysekara","gayan.abeysekara@outlook.com","0712857975","Bride's Friends","Accepted","Confirmed via WhatsApp"
"Rashmi Rajapaksha","rashmi.rajapaksha@yahoo.com","0784450687","Bride's Colleagues","Accepted","Confirmed via WhatsApp"
"Amila Senanayake","amila.senanayake@yahoo.com","0768700011","Bride's Colleagues","Accepted","Vegetarian meal"
"Nipun Karunaratne","nipun.karunaratne@yahoo.com","0766517883","Other","Accepted","Part of Poruwa ceremony party"
"Nuwan Wijeratne","nuwan.wijeratne@gmail.com","0728655554","Groom's Colleagues","Rejected","Bringing 2 children"
"Nipun Gunawardena","nipun.gunawardena@outlook.com","0714012820","Other","Accepted","Part of Poruwa ceremony party"
"Dinesh Gunawardena","dinesh.gunawardena@gmail.com","0751732568","Groom's Friends","Accepted","Vegan meal"
"Roshan de Zoysa","roshan.dezoysa@hotmail.com","0772119776","Groom's Friends","Accepted","Traveling from Jaffna"
"Iresha Jayasuriya","iresha.jayasuriya@hotmail.com","0702765375","Neighbours","Accepted","Requires seat near stage"
"Tharindu Bandara","tharindu.bandara1@yahoo.com","0761748853","VIP","Accepted","Part of Poruwa ceremony party"
"Chamath Karunaratne","chamath.karunaratne@yahoo.com","0751633753","Bride's Family","Accepted","Vegetarian meal"
"Chamath Wijesinghe","chamath.wijesinghe@outlook.com","0752144829","Groom's Family","Accepted","Needs wheelchair access"
"Sanduni Wickramasinghe","sanduni.wickramasinghe@outlook.com","0785683223","Bride's Friends","Accepted",""
"Piumi Senanayake","piumi.senanayake@gmail.com","0767557366","Bride's Friends","Accepted",""
"Ishara Wijesinghe","ishara.wijesinghe@hotmail.com","0714635160","Bride's Family","Accepted","Halal meal required"
"Asela Fernando","asela.fernando@gmail.com","0756172822","VIP","Accepted",""
"Nadeeka Samarasinghe","nadeeka.samarasinghe1@yahoo.com","0717285495","Groom's Friends","Accepted",""
"Kasun Weerasinghe","kasun.weerasinghe@yahoo.com","0772059841","Groom's Friends","Accepted",""
"Achini Rathnayake","achini.rathnayake@yahoo.com","0773802587","Bride's Family","Accepted",""
"Tharushi de Zoysa","tharushi.dezoysa@yahoo.com","0764474885","Neighbours","Accepted","Traveling from Jaffna"
"Sampath Jayasuriya","sampath.jayasuriya@hotmail.com","0723912886","Bride's Family","Accepted","Requires seat near stage"
"Sampath Wijesinghe","sampath.wijesinghe@yahoo.com","0705671743","Other","Accepted",""
"Chamodi Senanayake","chamodi.senanayake@outlook.com","0709995633","Other","Accepted",""
"Kaveesha Gunasekara","kaveesha.gunasekara@outlook.com","0773230219","Groom's Colleagues","Rejected","Requires seat near stage"
"Poornima Kumarasinghe","poornima.kumarasinghe@gmail.com","0721296097","Other","Accepted","Part of Poruwa ceremony party"
"Roshan Wijeratne","roshan.wijeratne@yahoo.com","0761222997","Groom's Friends","Accepted",""
"Chamath Abeysekara","chamath.abeysekara1@yahoo.com","0762331937","Bride's Family","Accepted","Confirmed via WhatsApp"
"Ruwan Karunaratne","ruwan.karunaratne@yahoo.com","0771635969","Groom's Friends","Accepted","Part of Poruwa ceremony party"
"Tharushi Wickramasinghe","tharushi.wickramasinghe@hotmail.com","0721664503","Neighbours","Accepted","Traveling from Jaffna"
"Nadeesha Samarasinghe","nadeesha.samarasinghe@gmail.com","0716557792","Groom's Colleagues","Rejected","Halal meal required"
"Gayan Rathnayake","gayan.rathnayake@yahoo.com","0784731991","Other","Accepted","No pork"
"Chanaka Jayawardena","chanaka.jayawardena@gmail.com","0709248388","Groom's Family","Accepted",""
"Ishara Rajapaksha","ishara.rajapaksha@yahoo.com","0703913796","Other","Accepted","Allergic to peanuts"
"Chamara Abeysekara","chamara.abeysekara@outlook.com","0723754127","Groom's Friends","Accepted","Vegan meal"
"Nadeesha Senanayake","nadeesha.senanayake@outlook.com","0774378948","Bride's Colleagues","Accepted","Confirmed via WhatsApp"
"Prasad Karunaratne","prasad.karunaratne@outlook.com","0718897261","VIP","Accepted","Traveling from Jaffna"
"Achini Kumarasinghe","achini.kumarasinghe@gmail.com","0787399154","Relatives","Pending","Bringing 2 children"
"Ishara de Zoysa","ishara.dezoysa@yahoo.com","0727382895","VIP","Accepted","Bringing 2 children"
"Janaka Kumarasinghe","janaka.kumarasinghe@gmail.com","0723292713","VIP","Accepted","Allergic to peanuts"
"Yohan Mendis","yohan.mendis@hotmail.com","0757787310","Relatives","Pending","Elderly guest"
"Chathura Jayawardena","chathura.jayawardena@gmail.com","0751651407","Groom's Family","Accepted","Late arrival expected"
"Harsha Abeysekara","harsha.abeysekara@hotmail.com","0786848179","Neighbours","Accepted","Elderly guest"
"Kaveesha Karunaratne","kaveesha.karunaratne@outlook.com","0775140479","Groom's Friends","Accepted","Elderly guest"
"Poornima Perera","poornima.perera@yahoo.com","0728641531","Bride's Friends","Accepted","Late arrival expected"
"Achini Gunawardena","achini.gunawardena@gmail.com","0702548634","Relatives","Pending","Late arrival expected"
"Dilini Mendis","dilini.mendis1@yahoo.com","0753782058","Relatives","Pending","Bringing 2 children"
"Iresha Rathnayake","iresha.rathnayake@outlook.com","0766167027","Relatives","Pending",""
"Amila Samarasinghe","amila.samarasinghe@hotmail.com","0783394334","Bride's Colleagues","Accepted","Traveling from Kandy"
"Nimasha Gunawardena","nimasha.gunawardena@outlook.com","0702625220","Groom's Family","Accepted","Traveling from Jaffna"
"Kaveesha Senanayake","kaveesha.senanayake@outlook.com","0713959522","Groom's Colleagues","Rejected","Vegetarian meal"
"Tharindu Mendis","tharindu.mendis@gmail.com","0754566389","Bride's Friends","Accepted","Vegan meal"
"Kavindi Bandara","kavindi.bandara@outlook.com","0752831995","Bride's Friends","Accepted",""
"Isuru Silva","isuru.silva@hotmail.com","0704938956","VIP","Accepted",""
"Isuru Samarasinghe","isuru.samarasinghe@gmail.com","0771702283","Groom's Family","Accepted",""
"Buddhika Samarasinghe","buddhika.samarasinghe1@hotmail.com","0758939511","Groom's Colleagues","Rejected","Requires seat near stage"
"Thilina Weerasinghe","thilina.weerasinghe@hotmail.com","0785019771","Groom's Colleagues","Rejected","Traveling from Kandy"
"Madushani Weerasinghe","madushani.weerasinghe@gmail.com","0708665833","Relatives","Pending","Vegetarian meal"
"Dilshan Mendis","dilshan.mendis@hotmail.com","0775169769","Groom's Colleagues","Rejected","Confirmed via WhatsApp"
"Poornima Rajapaksha","poornima.rajapaksha1@gmail.com","0776405343","Bride's Family","Accepted",""
"Yasodha Weerasinghe","yasodha.weerasinghe@outlook.com","0719129167","Relatives","Pending",""
"Gayan Kumarasinghe","gayan.kumarasinghe@gmail.com","0777456854","Bride's Colleagues","Accepted","Vegetarian meal"
"Sithara Amarasinghe","sithara.amarasinghe@gmail.com","0719353796","Groom's Family","Accepted","Halal meal required"
"Sanduni Gunawardena","sanduni.gunawardena@outlook.com","0709089445","Neighbours","Accepted","Allergic to peanuts"
