name,email,phone,group,notes,rsvp,relationship_type,priority,age_group,cluster
Ravindu Weerasinghe,ravindu.weerasinghe@outlook.com,782684358,Bride's Friends,No pork,Accepted,friend,2,adult,4
Ravindu Herath,ravindu.herath@hotmail.com,751458871,Bride's Family,Vegan meal,Accepted,family,4,adult,2
Thanuja Jayawardena,thanuja.jayawardena@yahoo.com,707721990,Groom's Friends,Requires seat near stage,Accepted,friend,2,adult,4
Chathurika Gunawardena,chathurika.gunawardena@yahoo.com,763182597,Other,Requires seat near stage,Accepted,other,1,adult,3
Yohan Wijeratne,yohan.wijeratne@yahoo.com,723910495,Other,Bringing 2 children,Accepted,other,1,child,3
Ravindu Ranasinghe,ravindu.ranasinghe@yahoo.com,757330379,Other,,Accepted,other,1,adult,3
Kaveesha Herath,kaveesha.herath@yahoo.com,708758202,Groom's Friends,Vegan meal,Accepted,friend,2,adult,4
Asela Mendis,asela.mendis@outlook.com,788611954,VIP,Allergic to peanuts,Accepted,vip,5,adult,1
Isuru Dissanayake,isuru.dissanayake@outlook.com,717201492,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Malith Wickramasinghe,malith.wickramasinghe@hotmail.com,777669861,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult,4
Hansika Silva,hansika.silva@gmail.com,761985700,Bride's Family,Needs wheelchair access,Accepted,family,4,adult,2
Prasad Herath,prasad.herath@gmail.com,705255656,Neighbours,Bringing 2 children,Accepted,other,1,child,3
Poornima Ranasinghe,poornima.ranasinghe@yahoo.com,761689962,Other,Vegan meal,Accepted,other,1,adult,3
Dilshan Weerasinghe,dilshan.weerasinghe@gmail.com,719375364,Bride's Colleagues,Traveling from Jaffna,Accepted,colleague,2,adult,0
Vidusha Samarasinghe,vidusha.samarasinghe@yahoo.com,768381800,Bride's Family,,Accepted,family,4,adult,2
Prasad Gunasekara,prasad.gunasekara@outlook.com,759270975,Groom's Family,Vegetarian meal,Accepted,family,4,adult,2
Chamara Rajapaksha,chamara.rajapaksha@hotmail.com,713823521,Neighbours,Late arrival expected,Accepted,other,1,adult,3
Poornima Jayasuriya,poornima.jayasuriya@hotmail.com,705769447,Groom's Family,Late arrival expected,Accepted,family,4,adult,2
Chathurika Weerasinghe,chathurika.weerasinghe@yahoo.com,702360015,VIP,Confirmed via WhatsApp,Accepted,vip,5,adult,1
Isuru Herath,isuru.herath@gmail.com,721735630,Other,Requires seat near stage,Accepted,other,1,adult,3
Yasodha Amarasinghe,yasodha.amarasinghe@yahoo.com,711816752,Bride's Colleagues,,Accepted,colleague,2,adult,0
Iresha Herath,iresha.herath@outlook.com,707691735,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult,0
Yohan Rajapaksha,yohan.rajapaksha@yahoo.com,757751088,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Vidusha Wijesinghe,vidusha.wijesinghe@outlook.com,755504336,Other,,Accepted,other,1,adult,3
Thanuja Ranasinghe,thanuja.ranasinghe@yahoo.com,758147380,Groom's Family,Requires seat near stage,Accepted,family,4,adult,2
Poornima Dissanayake,poornima.dissanayake@yahoo.com,759846268,Neighbours,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Gayan Kumarasinghe,gayan.kumarasinghe@hotmail.com,713143956,Bride's Colleagues,No pork,Accepted,colleague,2,adult,0
Amila Fernando,amila.fernando@gmail.com,709613666,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult,2
Dinesh Wijeratne,dinesh.wijeratne@hotmail.com,725275844,Other,No pork,Accepted,other,1,adult,3
Nadeesha Weerasinghe,nadeesha.weerasinghe@outlook.com,788548873,Other,Requires seat near stage,Accepted,other,1,adult,3
Gimhani Gunawardena,gimhani.gunawardena@yahoo.com,712312322,Other,,Accepted,other,1,adult,3
Kasun Perera,kasun.perera@outlook.com,701223214,Bride's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult,4
Kasun Rajapaksha,kasun.rajapaksha@gmail.com,781266510,Groom's Friends,Allergic to peanuts,Accepted,friend,2,adult,4
Ruwan Jayawardena,ruwan.jayawardena@yahoo.com,754203013,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult,2
Ravindu Perera,ravindu.perera@gmail.com,713557220,VIP,Confirmed via WhatsApp,Accepted,vip,5,adult,1
Chanaka Amarasinghe,chanaka.amarasinghe@yahoo.com,715946450,Other,Traveling from Kandy,Accepted,other,1,adult,3
Kasun Jayasuriya,kasun.jayasuriya@outlook.com,759316519,Other,Halal meal required,Accepted,other,1,adult,3
Sachini Kumarasinghe,sachini.kumarasinghe@outlook.com,759612679,Other,Confirmed via WhatsApp,Accepted,other,1,adult,3
Nuwan Mendis,nuwan.mendis@gmail.com,756299086,Neighbours,Traveling from Jaffna,Accepted,other,1,adult,3
Chathurika Kumarasinghe,chathurika.kumarasinghe1@hotmail.com,758318725,Bride's Family,Allergic to peanuts,Accepted,family,4,adult,2
Chanaka Dissanayake,chanaka.dissanayake@yahoo.com,766690043,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Chathura Wijeratne,chathura.wijeratne1@outlook.com,757044085,VIP,Vegan meal,Accepted,vip,5,adult,1
Nadeesha Gunasekara,nadeesha.gunasekara@gmail.com,779101545,Bride's Friends,Vegan meal,Accepted,friend,2,adult,4
Chathurika Abeysekara,chathurika.abeysekara@outlook.com,724937929,Groom's Friends,,Accepted,friend,2,adult,4
Isuru Ranasinghe,isuru.ranasinghe@yahoo.com,719446974,Bride's Family,Requires seat near stage,Accepted,family,4,adult,2
Janaka Dissanayake,janaka.dissanayake@gmail.com,764759700,VIP,Requires seat near stage,Accepted,vip,5,adult,1
Menaka Fernando,menaka.fernando@hotmail.com,719646766,Other,,Accepted,other,1,adult,3
Sanduni Wijesinghe,sanduni.wijesinghe1@gmail.com,702709062,Neighbours,,Accepted,other,1,adult,3
Dilshan Rajapaksha,dilshan.rajapaksha@hotmail.com,715901010,VIP,Confirmed via WhatsApp,Accepted,vip,5,adult,1
Chathurika Wickramasinghe,chathurika.wickramasinghe@hotmail.com,723311438,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult,2
Prasad Gunasekara,prasad.gunasekara1@outlook.com,725117989,Bride's Friends,No pork,Accepted,friend,2,adult,4
Lahiru Wickramasinghe,lahiru.wickramasinghe@outlook.com,757867070,VIP,No pork,Accepted,vip,5,adult,1
Madushani Perera,madushani.perera@outlook.com,711166911,Neighbours,,Accepted,other,1,adult,3
Sachini Jayawardena,sachini.jayawardena@hotmail.com,757744488,Neighbours,Requires seat near stage,Accepted,other,1,adult,3
Nimasha Bandara,nimasha.bandara@yahoo.com,777776956,VIP,Halal meal required,Accepted,vip,5,adult,1
Suresh Weerasinghe,suresh.weerasinghe@outlook.com,773114023,Neighbours,Bringing 2 children,Accepted,other,1,child,3
Buddhika de Zoysa,buddhika.dezoysa1@hotmail.com,766716146,Bride's Friends,Halal meal required,Accepted,friend,2,adult,4
Anjali Samarasinghe,anjali.samarasinghe@hotmail.com,778092498,Neighbours,,Accepted,other,1,adult,3
Hansika Jayawardena,hansika.jayawardena@hotmail.com,701800824,Groom's Family,Late arrival expected,Accepted,family,4,adult,2
Sanduni Weerasinghe,sanduni.weerasinghe@yahoo.com,789947098,Other,Bringing 2 children,Accepted,other,1,child,3
Kavinda Gunasekara,kavinda.gunasekara@yahoo.com,777336179,Neighbours,,Accepted,other,1,adult,3
Amila Rajapaksha,amila.rajapaksha@hotmail.com,752643963,Bride's Friends,Traveling from Jaffna,Accepted,friend,2,adult,4
Nuwan Abeysekara,nuwan.abeysekara@yahoo.com,754603484,VIP,No pork,Accepted,vip,5,adult,1
Suresh Mendis,suresh.mendis@outlook.com,785424046,Other,Traveling from Jaffna,Accepted,other,1,adult,3
Shanika Kumarasinghe,shanika.kumarasinghe@outlook.com,783732048,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Ishara Gunasekara,ishara.gunasekara@gmail.com,774567549,VIP,Vegan meal,Accepted,vip,5,adult,1
Chathurika Ranasinghe,chathurika.ranasinghe@hotmail.com,726087859,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Amila Abeysekara,amila.abeysekara@gmail.com,725756043,Groom's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Sithara Weerasinghe,sithara.weerasinghe@outlook.com,753228175,Bride's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult,4
Poornima Wijesinghe,poornima.wijesinghe@yahoo.com,786456223,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult,2
Thilina Karunaratne,thilina.karunaratne@hotmail.com,761768727,VIP,,Accepted,vip,5,adult,1
Shanika Perera,shanika.perera@hotmail.com,763076710,Neighbours,Halal meal required,Accepted,other,1,adult,3
Sachini Amarasinghe,sachini.amarasinghe@yahoo.com,788983198,Neighbours,,Accepted,other,1,adult,3
Iresha Gunawardena,iresha.gunawardena@gmail.com,724452834,Groom's Friends,Late arrival expected,Accepted,friend,2,adult,4
Kavinda de Zoysa,kavinda.dezoysa@hotmail.com,751754700,VIP,,Accepted,vip,5,adult,1
Dilshan de Zoysa,dilshan.dezoysa@yahoo.com,723416493,Bride's Friends,,Accepted,friend,2,adult,4
Ravindu Rathnayake,ravindu.rathnayake@yahoo.com,706457472,Bride's Friends,,Accepted,friend,2,adult,4
Dilshan Weerasinghe,dilshan.weerasinghe@yahoo.com,756439471,Bride's Colleagues,,Accepted,colleague,2,adult,0
Lahiru Samarasinghe,lahiru.samarasinghe@yahoo.com,759533248,Neighbours,,Accepted,other,1,adult,3
Sanjeewa Wijesinghe,sanjeewa.wijesinghe@outlook.com,709123050,Bride's Family,Needs wheelchair access,Accepted,family,4,adult,2
Nimasha Bandara,nimasha.bandara@gmail.com,713106737,Bride's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult,0
Iresha Abeysekara,iresha.abeysekara@outlook.com,701016794,VIP,Bringing 2 children,Accepted,vip,5,child,1
Piumi Perera,piumi.perera@gmail.com,755585262,Other,Traveling from Kandy,Accepted,other,1,adult,3
Achini Jayawardena,achini.jayawardena@yahoo.com,769561890,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult,0
Nadeesha Silva,nadeesha.silva@outlook.com,773063211,Bride's Friends,Bringing +1,Accepted,friend,2,adult,4
Kavindi Herath,kavindi.herath@hotmail.com,776748465,Bride's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult,0
Dinesh Weerasinghe,dinesh.weerasinghe1@hotmail.com,718714152,Other,Vegetarian meal,Accepted,other,1,adult,3
Nimasha Herath,nimasha.herath@outlook.com,701160702,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Iresha Silva,iresha.silva@gmail.com,761519213,VIP,Elderly guest,Accepted,vip,5,senior,1
Rashmi Herath,rashmi.herath1@hotmail.com,753972698,Bride's Family,Elderly guest,Accepted,family,4,senior,2
Sanduni Perera,sanduni.perera@yahoo.com,771331881,Bride's Colleagues,Elderly guest,Accepted,colleague,2,senior,0
Nipun Herath,nipun.herath@hotmail.com,784710242,Groom's Friends,Elderly guest,Accepted,friend,2,senior,4
Vidusha Gunawardena,vidusha.gunawardena@yahoo.com,773944885,Groom's Family,,Accepted,family,4,adult,2
Gayan Amarasinghe,gayan.amarasinghe@yahoo.com,765602459,Groom's Friends,,Accepted,friend,2,adult,4
Shanika Rathnayake,shanika.rathnayake@hotmail.com,778615616,Bride's Family,,Accepted,family,4,adult,2
Tharushi Abeysekara,tharushi.abeysekara@outlook.com,723042084,Neighbours,Elderly guest,Accepted,other,1,senior,3
Sampath Weerasinghe,sampath.weerasinghe@gmail.com,761425670,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult,4
Deshani Dissanayake,deshani.dissanayake@yahoo.com,716523472,Bride's Colleagues,,Accepted,colleague,2,adult,0
Ravindu Perera,ravindu.perera@hotmail.com,785201173,Groom's Friends,Needs wheelchair access,Accepted,friend,2,adult,4
Achini Fernando,achini.fernando@hotmail.com,764971899,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult,2
Kaveesha Wijesinghe,kaveesha.wijesinghe@gmail.com,702018157,Bride's Family,,Accepted,family,4,adult,2
Sachini Wijesinghe,sachini.wijesinghe@gmail.com,728245056,Groom's Family,,Accepted,family,4,adult,2
Nadeesha Karunaratne,nadeesha.karunaratne@outlook.com,707897247,Groom's Friends,,Accepted,friend,2,adult,4
Chanaka Abeysekara,chanaka.abeysekara@gmail.com,721435739,VIP,Late arrival expected,Accepted,vip,5,adult,1
Dilshan Perera,dilshan.perera@gmail.com,764248312,Other,No pork,Accepted,other,1,adult,3
Ravindu Kumarasinghe,ravindu.kumarasinghe@outlook.com,715079421,Bride's Friends,,Accepted,friend,2,adult,4
Amila Abeysekara,amila.abeysekara@hotmail.com,723443176,Bride's Friends,Requires seat near stage,Accepted,friend,2,adult,4
Kasun Mendis,kasun.mendis@yahoo.com,704982698,Neighbours,Halal meal required,Accepted,other,1,adult,3
Chamodi Ranasinghe,chamodi.ranasinghe@yahoo.com,714376603,Groom's Family,Confirmed via WhatsApp,Accepted,family,4,adult,2
Sanduni Herath,sanduni.herath@hotmail.com,786631448,Other,Requires seat near stage,Accepted,other,1,adult,3
Chanaka Fernando,chanaka.fernando@outlook.com,711062026,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult,4
Anjali Kumarasinghe,anjali.kumarasinghe@hotmail.com,787306753,Groom's Friends,,Accepted,friend,2,adult,4
Chamara Ranasinghe,chamara.ranasinghe@gmail.com,762932555,Bride's Friends,Allergic to peanuts,Accepted,friend,2,adult,4
Deshani Samarasinghe,deshani.samarasinghe@hotmail.com,701498041,Groom's Friends,Vegan meal,Accepted,friend,2,adult,4
Isuru Wijeratne,isuru.wijeratne@yahoo.com,725126595,Bride's Friends,Vegan meal,Accepted,friend,2,adult,4
Dulmini Abeysekara,dulmini.abeysekara@gmail.com,703423170,Bride's Friends,Allergic to peanuts,Accepted,friend,2,adult,4
Shanika Ranasinghe,shanika.ranasinghe@hotmail.com,768206488,Groom's Friends,Late arrival expected,Accepted,friend,2,adult,4
Suresh Senanayake,suresh.senanayake@yahoo.com,725146852,Bride's Family,Bringing +1,Accepted,family,4,adult,2
Gimhani Mendis,gimhani.mendis@outlook.com,712365794,VIP,,Accepted,vip,5,adult,1
Nadeeka Samarasinghe,nadeeka.samarasinghe@hotmail.com,759705569,VIP,Elderly guest,Accepted,vip,5,senior,1
Vidusha Gunasekara,vidusha.gunasekara@outlook.com,755501921,Other,Late arrival expected,Accepted,other,1,adult,3
Nayana Gunawardena,nayana.gunawardena@hotmail.com,722422018,Bride's Friends,Bringing 2 children,Accepted,friend,2,child,4
Prasad Dissanayake,prasad.dissanayake@gmail.com,759594331,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Roshan Silva,roshan.silva@hotmail.com,705941189,Neighbours,,Accepted,other,1,adult,3
Dinesh Weerasinghe,dinesh.weerasinghe2@hotmail.com,725604751,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult,4
Menaka Gunasekara,menaka.gunasekara@hotmail.com,706024342,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult,0
Achini Amarasinghe,achini.amarasinghe@gmail.com,759600788,Bride's Friends,Needs wheelchair access,Accepted,friend,2,adult,4
Chamath Rajapaksha,chamath.rajapaksha@outlook.com,719654113,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Chanaka de Zoysa,chanaka.dezoysa1@gmail.com,723331197,Other,Bringing 2 children,Accepted,other,1,child,3
Shanika de Zoysa,shanika.dezoysa@hotmail.com,721389899,Other,Vegetarian meal,Accepted,other,1,adult,3
Dilshan Weerasinghe,dilshan.weerasinghe@outlook.com,776111102,Groom's Family,Halal meal required,Accepted,family,4,adult,2
Nipun Gunasekara,nipun.gunasekara@outlook.com,704132173,Groom's Friends,Traveling from Kandy,Accepted,friend,2,adult,4
Gayan Abeysekara,gayan.abeysekara@outlook.com,712857975,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Rashmi Rajapaksha,rashmi.rajapaksha@yahoo.com,784450687,Bride's Colleagues,Confirmed via WhatsApp,Accepted,colleague,2,adult,0
Amila Senanayake,amila.senanayake@yahoo.com,768700011,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Nipun Karunaratne,nipun.karunaratne@yahoo.com,766517883,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Nipun Gunawardena,nipun.gunawardena@outlook.com,714012820,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Dinesh Gunawardena,dinesh.gunawardena@gmail.com,751732568,Groom's Friends,Vegan meal,Accepted,friend,2,adult,4
Roshan de Zoysa,roshan.dezoysa@hotmail.com,772119776,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult,4
Iresha Jayasuriya,iresha.jayasuriya@hotmail.com,702765375,Neighbours,Requires seat near stage,Accepted,other,1,adult,3
Tharindu Bandara,tharindu.bandara1@yahoo.com,761748853,VIP,Part of Poruwa ceremony party,Accepted,vip,5,adult,1
Chamath Karunaratne,chamath.karunaratne@yahoo.com,751633753,Bride's Family,Vegetarian meal,Accepted,family,4,adult,2
Chamath Wijesinghe,chamath.wijesinghe@outlook.com,752144829,Groom's Family,Needs wheelchair access,Accepted,family,4,adult,2
Sanduni Wickramasinghe,sanduni.wickramasinghe@outlook.com,785683223,Bride's Friends,,Accepted,friend,2,adult,4
Piumi Senanayake,piumi.senanayake@gmail.com,767557366,Bride's Friends,,Accepted,friend,2,adult,4
Ishara Wijesinghe,ishara.wijesinghe@hotmail.com,714635160,Bride's Family,Halal meal required,Accepted,family,4,adult,2
Asela Fernando,asela.fernando@gmail.com,756172822,VIP,,Accepted,vip,5,adult,1
Nadeeka Samarasinghe,nadeeka.samarasinghe1@yahoo.com,717285495,Groom's Friends,,Accepted,friend,2,adult,4
Kasun Weerasinghe,kasun.weerasinghe@yahoo.com,772059841,Groom's Friends,,Accepted,friend,2,adult,4
Achini Rathnayake,achini.rathnayake@yahoo.com,773802587,Bride's Family,,Accepted,family,4,adult,2
Tharushi de Zoysa,tharushi.dezoysa@yahoo.com,764474885,Neighbours,Traveling from Jaffna,Accepted,other,1,adult,3
Sampath Jayasuriya,sampath.jayasuriya@hotmail.com,723912886,Bride's Family,Requires seat near stage,Accepted,family,4,adult,2
Sampath Wijesinghe,sampath.wijesinghe@yahoo.com,705671743,Other,,Accepted,other,1,adult,3
Chamodi Senanayake,chamodi.senanayake@outlook.com,709995633,Other,,Accepted,other,1,adult,3
Poornima Kumarasinghe,poornima.kumarasinghe@gmail.com,721296097,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Roshan Wijeratne,roshan.wijeratne@yahoo.com,761222997,Groom's Friends,,Accepted,friend,2,adult,4
Chamath Abeysekara,chamath.abeysekara1@yahoo.com,762331937,Bride's Family,Confirmed via WhatsApp,Accepted,family,4,adult,2
Ruwan Karunaratne,ruwan.karunaratne@yahoo.com,771635969,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult,4
Tharushi Wickramasinghe,tharushi.wickramasinghe@hotmail.com,721664503,Neighbours,Traveling from Jaffna,Accepted,other,1,adult,3
Gayan Rathnayake,gayan.rathnayake@yahoo.com,784731991,Other,No pork,Accepted,other,1,adult,3
Chanaka Jayawardena,chanaka.jayawardena@gmail.com,709248388,Groom's Family,,Accepted,family,4,adult,2
Ishara Rajapaksha,ishara.rajapaksha@yahoo.com,703913796,Other,Allergic to peanuts,Accepted,other,1,adult,3
Chamara Abeysekara,chamara.abeysekara@outlook.com,723754127,Groom's Friends,Vegan meal,Accepted,friend,2,adult,4
Nadeesha Senanayake,nadeesha.senanayake@outlook.com,774378948,Bride's Colleagues,Confirmed via WhatsApp,Accepted,colleague,2,adult,0
Prasad Karunaratne,prasad.karunaratne@outlook.com,718897261,VIP,Traveling from Jaffna,Accepted,vip,5,adult,1
Ishara de Zoysa,ishara.dezoysa@yahoo.com,727382895,VIP,Bringing 2 children,Accepted,vip,5,child,1
Janaka Kumarasinghe,janaka.kumarasinghe@gmail.com,723292713,VIP,Allergic to peanuts,Accepted,vip,5,adult,1
Chathura Jayawardena,chathura.jayawardena@gmail.com,751651407,Groom's Family,Late arrival expected,Accepted,family,4,adult,2
Harsha Abeysekara,harsha.abeysekara@hotmail.com,786848179,Neighbours,Elderly guest,Accepted,other,1,senior,3
Kaveesha Karunaratne,kaveesha.karunaratne@outlook.com,775140479,Groom's Friends,Elderly guest,Accepted,friend,2,senior,4
Poornima Perera,poornima.perera@yahoo.com,728641531,Bride's Friends,Late arrival expected,Accepted,friend,2,adult,4
Amila Samarasinghe,amila.samarasinghe@hotmail.com,783394334,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult,0
Nimasha Gunawardena,nimasha.gunawardena@outlook.com,702625220,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult,2
Tharindu Mendis,tharindu.mendis@gmail.com,754566389,Bride's Friends,Vegan meal,Accepted,friend,2,adult,4
Kavindi Bandara,kavindi.bandara@outlook.com,752831995,Bride's Friends,,Accepted,friend,2,adult,4
Isuru Silva,isuru.silva@hotmail.com,704938956,VIP,,Accepted,vip,5,adult,1
Isuru Samarasinghe,isuru.samarasinghe@gmail.com,771702283,Groom's Family,,Accepted,family,4,adult,2
Poornima Rajapaksha,poornima.rajapaksha1@gmail.com,776405343,Bride's Family,,Accepted,family,4,adult,2
Gayan Kumarasinghe,gayan.kumarasinghe@gmail.com,777456854,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Sithara Amarasinghe,sithara.amarasinghe@gmail.com,719353796,Groom's Family,Halal meal required,Accepted,family,4,adult,2
Sanduni Gunawardena,sanduni.gunawardena@outlook.com,709089445,Neighbours,Allergic to peanuts,Accepted,other,1,adult,3
