name,email,phone,group,notes,rsvp,relationship_type,priority,age_group
Yohan Wijeratne,yohan.wijeratne@yahoo.com,0723910495,Other,Bringing 2 children,Accepted,other,1,child
Ravindu Ranasinghe,ravindu.ranasinghe@yahoo.com,0757330379,Other,,Accepted,other,1,adult
Kaveesha Herath,kaveesha.herath@yahoo.com,0708758202,Groom's Friends,Vegan meal,Accepted,friend,2,adult
Asela Mendis,asela.mendis@outlook.com,0788611954,VIP,Allergic to peanuts,Accepted,vip,5,adult
Isuru Dissanayake,isuru.dissanayake@outlook.com,0717201492,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Malith Wickramasinghe,malith.wickramasinghe@hotmail.com,0777669861,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult
Hansika Silva,hansika.silva@gmail.com,0761985700,Bride's Family,Needs wheelchair access,Accepted,family,4,adult
Prasad Herath,prasad.herath@gmail.com,0705255656,Neighbours,Bringing 2 children,Accepted,other,1,child
Poornima Ranasinghe,poornima.ranasinghe@yahoo.com,0761689962,Other,Vegan meal,Accepted,other,1,adult
Dilshan Weerasinghe,dilshan.weerasinghe@gmail.com,0719375364,Bride's Colleagues,Traveling from Jaffna,Accepted,colleague,2,adult
Vidusha Samarasinghe,vidusha.samarasinghe@yahoo.com,0768381800,Bride's Family,,Accepted,family,4,adult
Prasad Gunasekara,prasad.gunasekara@outlook.com,0759270975,Groom's Family,Vegetarian meal,Accepted,family,4,adult
Chamara Rajapaksha,chamara.rajapaksha@hotmail.com,0713823521,Neighbours,Late arrival expected,Accepted,other,1,adult
Poornima Jayasuriya,poornima.jayasuriya@hotmail.com,0705769447,Groom's Family,Late arrival expected,Accepted,family,4,adult
Chathurika Weerasinghe,chathurika.weerasinghe@yahoo.com,0702360015,VIP,Confirmed via WhatsApp,Accepted,vip,5,adult
Isuru Herath,isuru.herath@gmail.com,0721735630,Other,Requires seat near stage,Accepted,other,1,adult
Yasodha Amarasinghe,yasodha.amarasinghe@yahoo.com,0711816752,Bride's Colleagues,,Accepted,colleague,2,adult
Iresha Herath,iresha.herath@outlook.com,0707691735,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult
Yohan Rajapaksha,yohan.rajapaksha@yahoo.com,0757751088,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Vidusha Wijesinghe,vidusha.wijesinghe@outlook.com,0755504336,Other,,Accepted,other,1,adult
Thanuja Ranasinghe,thanuja.ranasinghe@yahoo.com,0758147380,Groom's Family,Requires seat near stage,Accepted,family,4,adult
Poornima Dissanayake,poornima.dissanayake@yahoo.com,0759846268,Neighbours,Part of Poruwa ceremony party,Accepted,other,1,adult
Gayan Kumarasinghe,gayan.kumarasinghe@hotmail.com,0713143956,Bride's Colleagues,No pork,Accepted,colleague,2,adult
Amila Fernando,amila.fernando@gmail.com,0709613666,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult
Dinesh Wijeratne,dinesh.wijeratne@hotmail.com,0725275844,Other,No pork,Accepted,other,1,adult
Nadeesha Weerasinghe,nadeesha.weerasinghe@outlook.com,0788548873,Other,Requires seat near stage,Accepted,other,1,adult
Gimhani Gunawardena,gimhani.gunawardena@yahoo.com,0712312322,Other,,Accepted,other,1,adult
Kasun Perera,kasun.perera@outlook.com,0701223214,Bride's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult
Kasun Rajapaksha,kasun.rajapaksha@gmail.com,0781266510,Groom's Friends,Allergic to peanuts,Accepted,friend,2,adult
Ruwan Jayawardena,ruwan.jayawardena@yahoo.com,0754203013,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult
Ravindu Perera,ravindu.perera@gmail.com,0713557220,VIP,Confirmed via WhatsApp,Accepted,vip,5,adult
Chanaka Amarasinghe,chanaka.amarasinghe@yahoo.com,0715946450,Other,Traveling from Kandy,Accepted,other,1,adult
Kasun Jayasuriya,kasun.jayasuriya@outlook.com,0759316519,Other,Halal meal required,Accepted,other,1,adult
Sachini Kumarasinghe,sachini.kumarasinghe@outlook.com,0759612679,Other,Confirmed via WhatsApp,Accepted,other,1,adult
Nuwan Mendis,nuwan.mendis@gmail.com,0756299086,Neighbours,Traveling from Jaffna,Accepted,other,1,adult
Chathurika Kumarasinghe,chathurika.kumarasinghe1@hotmail.com,0758318725,Bride's Family,Allergic to peanuts,Accepted,family,4,adult
Chanaka Dissanayake,chanaka.dissanayake@yahoo.com,0766690043,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Chathura Wijeratne,chathura.wijeratne1@outlook.com,0757044085,VIP,Vegan meal,Accepted,vip,5,adult
Nadeesha Gunasekara,nadeesha.gunasekara@gmail.com,0779101545,Bride's Friends,Vegan meal,Accepted,friend,2,adult
Chathurika Abeysekara,chathurika.abeysekara@outlook.com,0724937929,Groom's Friends,,Accepted,friend,2,adult
Isuru Ranasinghe,isuru.ranasinghe@yahoo.com,0719446974,Bride's Family,Requires seat near stage,Accepted,family,4,adult
Janaka Dissanayake,janaka.dissanayake@gmail.com,0764759700,VIP,Requires seat near stage,Accepted,vip,5,adult
Menaka Fernando,menaka.fernando@hotmail.com,0719646766,Other,,Accepted,other,1,adult
Sanduni Wijesinghe,sanduni.wijesinghe1@gmail.com,0702709062,Neighbours,,Accepted,other,1,adult
Dilshan Rajapaksha,dilshan.rajapaksha@hotmail.com,0715901010,VIP,Confirmed via WhatsApp,Accepted,vip,5,adult
Chathurika Wickramasinghe,chathurika.wickramasinghe@hotmail.com,0723311438,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult
Prasad Gunasekara,prasad.gunasekara1@outlook.com,0725117989,Bride's Friends,No pork,Accepted,friend,2,adult
Lahiru Wickramasinghe,lahiru.wickramasinghe@outlook.com,0757867070,VIP,No pork,Accepted,vip,5,adult
Madushani Perera,madushani.perera@outlook.com,0711166911,Neighbours,,Accepted,other,1,adult
Sachini Jayawardena,sachini.jayawardena@hotmail.com,0757744488,Neighbours,Requires seat near stage,Accepted,other,1,adult
Nimasha Bandara,nimasha.bandara@yahoo.com,0777776956,VIP,Halal meal required,Accepted,vip,5,adult
Suresh Weerasinghe,suresh.weerasinghe@outlook.com,0773114023,Neighbours,Bringing 2 children,Accepted,other,1,child
Buddhika de Zoysa,buddhika.dezoysa1@hotmail.com,0766716146,Bride's Friends,Halal meal required,Accepted,friend,2,adult
Anjali Samarasinghe,anjali.samarasinghe@hotmail.com,0778092498,Neighbours,,Accepted,other,1,adult
Hansika Jayawardena,hansika.jayawardena@hotmail.com,0701800824,Groom's Family,Late arrival expected,Accepted,family,4,adult
Sanduni Weerasinghe,sanduni.weerasinghe@yahoo.com,0789947098,Other,Bringing 2 children,Accepted,other,1,child
Kavinda Gunasekara,kavinda.gunasekara@yahoo.com,0777336179,Neighbours,,Accepted,other,1,adult
Amila Rajapaksha,amila.rajapaksha@hotmail.com,0752643963,Bride's Friends,Traveling from Jaffna,Accepted,friend,2,adult
Nuwan Abeysekara,nuwan.abeysekara@yahoo.com,0754603484,VIP,No pork,Accepted,vip,5,adult
Suresh Mendis,suresh.mendis@outlook.com,0785424046,Other,Traveling from Jaffna,Accepted,other,1,adult
Shanika Kumarasinghe,shanika.kumarasinghe@outlook.com,0783732048,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Ishara Gunasekara,ishara.gunasekara@gmail.com,0774567549,VIP,Vegan meal,Accepted,vip,5,adult
Chathurika Ranasinghe,chathurika.ranasinghe@hotmail.com,0726087859,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Amila Abeysekara,amila.abeysekara@gmail.com,0725756043,Groom's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Sithara Weerasinghe,sithara.weerasinghe@outlook.com,0753228175,Bride's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult
Poornima Wijesinghe,poornima.wijesinghe@yahoo.com,0786456223,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult
Thilina Karunaratne,thilina.karunaratne@hotmail.com,0761768727,VIP,,Accepted,vip,5,adult
Shanika Perera,shanika.perera@hotmail.com,0763076710,Neighbours,Halal meal required,Accepted,other,1,adult
Sachini Amarasinghe,sachini.amarasinghe@yahoo.com,0788983198,Neighbours,,Accepted,other,1,adult
Iresha Gunawardena,iresha.gunawardena@gmail.com,0724452834,Groom's Friends,Late arrival expected,Accepted,friend,2,adult
Kavinda de Zoysa,kavinda.dezoysa@hotmail.com,0751754700,VIP,,Accepted,vip,5,adult
Dilshan de Zoysa,dilshan.dezoysa@yahoo.com,0723416493,Bride's Friends,,Accepted,friend,2,adult
Ravindu Rathnayake,ravindu.rathnayake@yahoo.com,0706457472,Bride's Friends,,Accepted,friend,2,adult
Dilshan Weerasinghe,dilshan.weerasinghe@yahoo.com,0756439471,Bride's Colleagues,,Accepted,colleague,2,adult
Lahiru Samarasinghe,lahiru.samarasinghe@yahoo.com,0759533248,Neighbours,,Accepted,other,1,adult
Sanjeewa Wijesinghe,sanjeewa.wijesinghe@outlook.com,0709123050,Bride's Family,Needs wheelchair access,Accepted,family,4,adult
Nimasha Bandara,nimasha.bandara@gmail.com,0713106737,Bride's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult
Iresha Abeysekara,iresha.abeysekara@outlook.com,0701016794,VIP,Bringing 2 children,Accepted,vip,5,child
Piumi Perera,piumi.perera@gmail.com,0755585262,Other,Traveling from Kandy,Accepted,other,1,adult
Achini Jayawardena,achini.jayawardena@yahoo.com,0769561890,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult
Nadeesha Silva,nadeesha.silva@outlook.com,0773063211,Bride's Friends,Bringing +1,Accepted,friend,2,adult
Kavindi Herath,kavindi.herath@hotmail.com,0776748465,Bride's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult
Dinesh Weerasinghe,dinesh.weerasinghe1@hotmail.com,0718714152,Other,Vegetarian meal,Accepted,other,1,adult
Nimasha Herath,nimasha.herath@outlook.com,0701160702,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Iresha Silva,iresha.silva@gmail.com,0761519213,VIP,Elderly guest,Accepted,vip,5,senior
Rashmi Herath,rashmi.herath1@hotmail.com,0753972698,Bride's Family,Elderly guest,Accepted,family,4,senior
Sanduni Perera,sanduni.perera@yahoo.com,0771331881,Bride's Colleagues,Elderly guest,Accepted,colleague,2,senior
Nipun Herath,nipun.herath@hotmail.com,0784710242,Groom's Friends,Elderly guest,Accepted,friend,2,senior
Vidusha Gunawardena,vidusha.gunawardena@yahoo.com,0773944885,Groom's Family,,Accepted,family,4,adult
Gayan Amarasinghe,gayan.amarasinghe@yahoo.com,0765602459,Groom's Friends,,Accepted,friend,2,adult
Shanika Rathnayake,shanika.rathnayake@hotmail.com,0778615616,Bride's Family,,Accepted,family,4,adult
Tharushi Abeysekara,tharushi.abeysekara@outlook.com,0723042084,Neighbours,Elderly guest,Accepted,other,1,senior
Sampath Weerasinghe,sampath.weerasinghe@gmail.com,0761425670,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult
Deshani Dissanayake,deshani.dissanayake@yahoo.com,0716523472,Bride's Colleagues,,Accepted,colleague,2,adult
Ravindu Perera,ravindu.perera@hotmail.com,0785201173,Groom's Friends,Needs wheelchair access,Accepted,friend,2,adult
Achini Fernando,achini.fernando@hotmail.com,0764971899,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult
Kaveesha Wijesinghe,kaveesha.wijesinghe@gmail.com,0702018157,Bride's Family,,Accepted,family,4,adult
Sachini Wijesinghe,sachini.wijesinghe@gmail.com,0728245056,Groom's Family,,Accepted,family,4,adult
Nadeesha Karunaratne,nadeesha.karunaratne@outlook.com,0707897247,Groom's Friends,,Accepted,friend,2,adult
Chanaka Abeysekara,chanaka.abeysekara@gmail.com,0721435739,VIP,Late arrival expected,Accepted,vip,5,adult
Dilshan Perera,dilshan.perera@gmail.com,0764248312,Other,No pork,Accepted,other,1,adult
Ravindu Kumarasinghe,ravindu.kumarasinghe@outlook.com,0715079421,Bride's Friends,,Accepted,friend,2,adult
Amila Abeysekara,amila.abeysekara@hotmail.com,0723443176,Bride's Friends,Requires seat near stage,Accepted,friend,2,adult
Kasun Mendis,kasun.mendis@yahoo.com,0704982698,Neighbours,Halal meal required,Accepted,other,1,adult
Chamodi Ranasinghe,chamodi.ranasinghe@yahoo.com,0714376603,Groom's Family,Confirmed via WhatsApp,Accepted,family,4,adult
Sanduni Herath,sanduni.herath@hotmail.com,0786631448,Other,Requires seat near stage,Accepted,other,1,adult
Chanaka Fernando,chanaka.fernando@outlook.com,0711062026,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult
Anjali Kumarasinghe,anjali.kumarasinghe@hotmail.com,0787306753,Groom's Friends,,Accepted,friend,2,adult
Chamara Ranasinghe,chamara.ranasinghe@gmail.com,0762932555,Bride's Friends,Allergic to peanuts,Accepted,friend,2,adult
Deshani Samarasinghe,deshani.samarasinghe@hotmail.com,0701498041,Groom's Friends,Vegan meal,Accepted,friend,2,adult
Isuru Wijeratne,isuru.wijeratne@yahoo.com,0725126595,Bride's Friends,Vegan meal,Accepted,friend,2,adult
Dulmini Abeysekara,dulmini.abeysekara@gmail.com,0703423170,Bride's Friends,Allergic to peanuts,Accepted,friend,2,adult
Shanika Ranasinghe,shanika.ranasinghe@hotmail.com,0768206488,Groom's Friends,Late arrival expected,Accepted,friend,2,adult
Suresh Senanayake,suresh.senanayake@yahoo.com,0725146852,Bride's Family,Bringing +1,Accepted,family,4,adult
Gimhani Mendis,gimhani.mendis@outlook.com,0712365794,VIP,,Accepted,vip,5,adult
Nadeeka Samarasinghe,nadeeka.samarasinghe@hotmail.com,0759705569,VIP,Elderly guest,Accepted,vip,5,senior
Vidusha Gunasekara,vidusha.gunasekara@outlook.com,0755501921,Other,Late arrival expected,Accepted,other,1,adult
Nayana Gunawardena,nayana.gunawardena@hotmail.com,0722422018,Bride's Friends,Bringing 2 children,Accepted,friend,2,child
Prasad Dissanayake,prasad.dissanayake@gmail.com,0759594331,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Roshan Silva,roshan.silva@hotmail.com,0705941189,Neighbours,,Accepted,other,1,adult
Dinesh Weerasinghe,dinesh.weerasinghe2@hotmail.com,0725604751,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult
Menaka Gunasekara,menaka.gunasekara@hotmail.com,0706024342,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult
Achini Amarasinghe,achini.amarasinghe@gmail.com,0759600788,Bride's Friends,Needs wheelchair access,Accepted,friend,2,adult
Chamath Rajapaksha,chamath.rajapaksha@outlook.com,0719654113,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Chanaka de Zoysa,chanaka.dezoysa1@gmail.com,0723331197,Other,Bringing 2 children,Accepted,other,1,child
Shanika de Zoysa,shanika.dezoysa@hotmail.com,0721389899,Other,Vegetarian meal,Accepted,other,1,adult
Dilshan Weerasinghe,dilshan.weerasinghe@outlook.com,0776111102,Groom's Family,Halal meal required,Accepted,family,4,adult
Nipun Gunasekara,nipun.gunasekara@outlook.com,0704132173,Groom's Friends,Traveling from Kandy,Accepted,friend,2,adult
Gayan Abeysekara,gayan.abeysekara@outlook.com,0712857975,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Rashmi Rajapaksha,rashmi.rajapaksha@yahoo.com,0784450687,Bride's Colleagues,Confirmed via WhatsApp,Accepted,colleague,2,adult
Amila Senanayake,amila.senanayake@yahoo.com,0768700011,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Nipun Karunaratne,nipun.karunaratne@yahoo.com,0766517883,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Nipun Gunawardena,nipun.gunawardena@outlook.com,0714012820,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Dinesh Gunawardena,dinesh.gunawardena@gmail.com,0751732568,Groom's Friends,Vegan meal,Accepted,friend,2,adult
Roshan de Zoysa,roshan.dezoysa@hotmail.com,0772119776,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult
Iresha Jayasuriya,iresha.jayasuriya@hotmail.com,0702765375,Neighbours,Requires seat near stage,Accepted,other,1,adult
Tharindu Bandara,tharindu.bandara1@yahoo.com,0761748853,VIP,Part of Poruwa ceremony party,Accepted,vip,5,adult
Chamath Karunaratne,chamath.karunaratne@yahoo.com,0751633753,Bride's Family,Vegetarian meal,Accepted,family,4,adult
Chamath Wijesinghe,chamath.wijesinghe@outlook.com,0752144829,Groom's Family,Needs wheelchair access,Accepted,family,4,adult
Sanduni Wickramasinghe,sanduni.wickramasinghe@outlook.com,0785683223,Bride's Friends,,Accepted,friend,2,adult
Piumi Senanayake,piumi.senanayake@gmail.com,0767557366,Bride's Friends,,Accepted,friend,2,adult
Ishara Wijesinghe,ishara.wijesinghe@hotmail.com,0714635160,Bride's Family,Halal meal required,Accepted,family,4,adult
Asela Fernando,asela.fernando@gmail.com,0756172822,VIP,,Accepted,vip,5,adult
Nadeeka Samarasinghe,nadeeka.samarasinghe1@yahoo.com,0717285495,Groom's Friends,,Accepted,friend,2,adult
Kasun Weerasinghe,kasun.weerasinghe@yahoo.com,0772059841,Groom's Friends,,Accepted,friend,2,adult
Achini Rathnayake,achini.rathnayake@yahoo.com,0773802587,Bride's Family,,Accepted,family,4,adult
Tharushi de Zoysa,tharushi.dezoysa@yahoo.com,0764474885,Neighbours,Traveling from Jaffna,Accepted,other,1,adult
Sampath Jayasuriya,sampath.jayasuriya@hotmail.com,0723912886,Bride's Family,Requires seat near stage,Accepted,family,4,adult
Sampath Wijesinghe,sampath.wijesinghe@yahoo.com,0705671743,Other,,Accepted,other,1,adult
Chamodi Senanayake,chamodi.senanayake@outlook.com,0709995633,Other,,Accepted,other,1,adult
Poornima Kumarasinghe,poornima.kumarasinghe@gmail.com,0721296097,Other,Part of Poruwa ceremony party,Accepted,other,1,adult
Roshan Wijeratne,roshan.wijeratne@yahoo.com,0761222997,Groom's Friends,,Accepted,friend,2,adult
Chamath Abeysekara,chamath.abeysekara1@yahoo.com,0762331937,Bride's Family,Confirmed via WhatsApp,Accepted,family,4,adult
Ruwan Karunaratne,ruwan.karunaratne@yahoo.com,0771635969,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult
Tharushi Wickramasinghe,tharushi.wickramasinghe@hotmail.com,0721664503,Neighbours,Traveling from Jaffna,Accepted,other,1,adult
Gayan Rathnayake,gayan.rathnayake@yahoo.com,0784731991,Other,No pork,Accepted,other,1,adult
Chanaka Jayawardena,chanaka.jayawardena@gmail.com,0709248388,Groom's Family,,Accepted,family,4,adult
Ishara Rajapaksha,ishara.rajapaksha@yahoo.com,0703913796,Other,Allergic to peanuts,Accepted,other,1,adult
Chamara Abeysekara,chamara.abeysekara@outlook.com,0723754127,Groom's Friends,Vegan meal,Accepted,friend,2,adult
Nadeesha Senanayake,nadeesha.senanayake@outlook.com,0774378948,Bride's Colleagues,Confirmed via WhatsApp,Accepted,colleague,2,adult
Prasad Karunaratne,prasad.karunaratne@outlook.com,0718897261,VIP,Traveling from Jaffna,Accepted,vip,5,adult
Ishara de Zoysa,ishara.dezoysa@yahoo.com,0727382895,VIP,Bringing 2 children,Accepted,vip,5,child
Janaka Kumarasinghe,janaka.kumarasinghe@gmail.com,0723292713,VIP,Allergic to peanuts,Accepted,vip,5,adult
Chathura Jayawardena,chathura.jayawardena@gmail.com,0751651407,Groom's Family,Late arrival expected,Accepted,family,4,adult
Harsha Abeysekara,harsha.abeysekara@hotmail.com,0786848179,Neighbours,Elderly guest,Accepted,other,1,senior
Kaveesha Karunaratne,kaveesha.karunaratne@outlook.com,0775140479,Groom's Friends,Elderly guest,Accepted,friend,2,senior
Poornima Perera,poornima.perera@yahoo.com,0728641531,Bride's Friends,Late arrival expected,Accepted,friend,2,adult
Amila Samarasinghe,amila.samarasinghe@hotmail.com,0783394334,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult
Nimasha Gunawardena,nimasha.gunawardena@outlook.com,0702625220,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult
Tharindu Mendis,tharindu.mendis@gmail.com,0754566389,Bride's Friends,Vegan meal,Accepted,friend,2,adult
Kavindi Bandara,kavindi.bandara@outlook.com,0752831995,Bride's Friends,,Accepted,friend,2,adult
Isuru Silva,isuru.silva@hotmail.com,0704938956,VIP,,Accepted,vip,5,adult
Isuru Samarasinghe,isuru.samarasinghe@gmail.com,0771702283,Groom's Family,,Accepted,family,4,adult
Poornima Rajapaksha,poornima.rajapaksha1@gmail.com,0776405343,Bride's Family,,Accepted,family,4,adult
Gayan Kumarasinghe,gayan.kumarasinghe@gmail.com,0777456854,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult
Sithara Amarasinghe,sithara.amarasinghe@gmail.com,0719353796,Groom's Family,Halal meal required,Accepted,family,4,adult
Sanduni Gunawardena,sanduni.gunawardena@outlook.com,0709089445,Neighbours,Allergic to peanuts,Accepted,other,1,adult
